easting,northing,coarse_local_slope,coarse_relief_m,coarse_width_m,coarse_area_ha,coarse_aspect_deg,tile
466296.09412072133,106343.69782201081,9.4571533203125,62.32497024536133,5532.173340888694,125.25,180.26083,E464000_N104000
506494.31694385,148759.7352931624,9.970870971679688,83.6064682006836,5039.9066734313965,216.34,185.71771,E504000_N144000
491347.60521938355,148131.50160930192,9.390581130981445,50.13458251953125,5411.010842062533,109.91,179.68732,E488000_N144000
491734.1893931801,128895.19616967744,9.395730972290039,132.9916229248047,2390.5350653082132,107.16,182.36354,E488000_N128000
513412.3002790277,142747.4657553139,8.406927108764648,132.27281188964844,2378.3393113315105,133.2,187.01263,E512000_N136000
510603.80269449705,148686.9858305305,12.35252571105957,97.45315551757812,2959.174417704344,127.5,173.46387,E504000_N144000
497615.9573426119,148485.8199478411,8.33889389038086,69.34765625,3426.5750108659267,104.35,167.31793,E496000_N144000
457217.39352860005,181647.56725373064,10.776938438415527,80.32744598388672,2707.99425303936,76.34,158.91534,E456000_N176000
462674.9485754222,106645.72578196778,10.529007911682129,67.13870239257812,2924.854566305876,77.72,182.00162,E456000_N104000
472702.09189083823,125408.25511379227,13.359626770019531,105.63919830322266,1816.6825100779533,52.4,154.02045,E472000_N120000
474289.4705676336,126946.96143821503,17.984973907470703,116.63338470458984,1296.1174242943525,37.23,175.10815,E472000_N120000
510254.8066175011,142766.0658353987,9.612262725830078,100.88652038574219,1662.5053576752543,56.6,180.57024,E504000_N136000
473405.7279761885,126599.65223665553,23.74416160583496,118.1015853881836,948.3975631184876,20.27,179.06104,E472000_N120000
462521.97275362996,181426.47482044683,10.888705253601074,66.87479400634766,2153.0414363741875,41.26,193.81897,E456000_N176000
492461.71558889915,113276.05442444155,8.177380561828613,112.16012573242188,1292.8485035151243,36.48,178.22498,E488000_N112000
494184.6876962366,114347.35970847432,9.32833480834961,112.0233383178711,1257.4439400434494,46.3,174.2027,E488000_N112000
496427.96012607473,115434.54211970617,14.316919326782227,126.87324523925781,859.4906902313232,14.15,154.16364,E496000_N112000
487210.4552573149,110673.52635720509,7.733419895172119,84.53628540039062,1817.517321407795,60.9,192.24162,E480000_N104000
489871.2105828082,113380.7629886466,10.583303451538086,94.70047760009766,1544.3009148910642,53.14,177.99756,E488000_N112000
500818.9005796253,138571.3158003748,10.191052436828613,94.64669036865234,1546.8161487579346,50.71,165.57568,E496000_N136000
461260.4221583313,123681.57683354561,7.633608818054199,66.94680786132812,2145.4361486434937,54.86,184.70702,E456000_N120000
505843.86971703696,142504.3457794877,11.568683624267578,100.67680358886719,1328.2489144802094,29.52,191.88928,E504000_N136000
466015.1267437521,177818.759792453,10.982970237731934,58.732444763183594,2160.0919717550278,55.52,197.24318,E464000_N176000
500951.61238625075,148844.90693114122,8.418726921081543,55.57301330566406,2229.0249030292034,58.17,181.46706,E496000_N144000
502835.9755345921,148096.86029606443,11.321226119995117,95.0469741821289,1299.863513847813,42.54,179.81427,E496000_N144000
471040.3407871125,124113.70734214982,10.145622253417969,68.9268798828125,1824.7975274920464,43.05,170.20264,E464000_N120000
498111.7488759947,138543.56003106575,11.949341773986816,65.20652770996094,1834.914539605379,45.99,181.07115,E496000_N136000
481355.7578606388,127491.13283951084,13.322897911071777,66.21453094482422,1774.6075484156609,42.97,168.7793,E480000_N120000
491795.0470562139,137816.8460871273,10.52377700805664,47.374305725097656,2156.289305984974,34.96,159.0769,E488000_N136000
437417.3731755241,161359.5408047504,12.36579418182373,98.63462829589844,1093.4584653377533,34.87,177.38855,E432000_N160000
493413.68707727245,113310.43382912819,8.726371765136719,90.64457702636719,1302.2130072116852,46.56,163.40497,E488000_N112000
469173.1916761424,175429.08313784204,11.752609252929688,33.82773208618164,2309.7457897663116,30.14,204.70303,E464000_N168000
466550.55548546795,178199.6103381088,9.032191276550293,42.23363494873047,2195.6638485193253,36.57,197.49199,E464000_N176000
475091.67070600373,143799.78173767356,8.331157684326172,48.12761688232422,2088.162412047386,33.53,183.23872,E472000_N136000
482297.2583091286,110888.16749735993,9.524293899536133,106.12413787841797,903.4949176944792,31.63,181.25021,E480000_N104000
507326.32962770463,142070.92114570423,8.981440544128418,96.38995361328125,1059.5692956447601,39.37,181.63342,E504000_N136000
450522.3901293909,129116.06607744674,11.235945701599121,56.36728286743164,1812.489812374115,31.77,196.42285,E448000_N128000
487459.73496218416,130798.66491244842,11.06545639038086,72.4111328125,1467.0887321978807,40.34,178.88977,E480000_N128000
487342.3275987238,135779.30560171301,15.011777877807617,72.89828491210938,1376.5789556503296,16.14,195.56776,E480000_N128000
501182.52641803946,111083.44562514643,10.386844635009766,76.65969848632812,1388.5234206914902,24.5,162.0216,E496000_N104000
471420.4822221781,119709.0423568861,10.482662200927734,107.78175354003906,743.6908830702305,14.42,188.11272,E464000_N112000
429861.3750975335,156097.52897187494,8.528573989868164,67.65641784667969,1571.2550852447748,42.49,176.51501,E424000_N152000
491915.9172833339,124137.50872667966,11.348268508911133,80.26741790771484,1260.4735113680363,16.62,185.39249,E488000_N120000
431639.8476313978,156326.91358478362,12.993809700012207,92.06565856933594,938.4192931652069,31.94,196.5944,E424000_N152000
471712.6114554127,124791.24475051583,13.117989540100098,91.40945434570312,933.0632477998734,21.77,153.8587,E464000_N120000
468236.92425389256,122413.5976371341,10.606678009033203,81.05316925048828,1175.071124881506,26.18,185.74661,E464000_N120000
503315.42060099135,111566.70295260931,8.497167587280273,66.12295532226562,1484.9601244926453,36.66,168.15869,E496000_N104000
499645.48285778536,138316.6115711963,9.818320274353027,91.06797790527344,928.7947742640972,28.81,183.56721,E496000_N136000
472440.8058159891,118907.57190828446,9.724023818969727,77.30520629882812,1196.9005280733109,28.64,150.419,E472000_N112000
471159.97809596953,120700.61299449508,24.972530364990234,98.97483825683594,442.98995167016983,7.53,202.80746,E464000_N120000
498323.0848278506,147802.8782616486,9.39280891418457,40.56266403198242,1922.5179180502892,27.53,172.81506,E496000_N144000
505138.5580548143,143737.23064285543,10.803545951843262,69.93991088867188,1306.4431059360504,20.61,193.10477,E504000_N136000
493717.9965514563,138155.66246029918,9.347114562988281,53.034324645996094,1662.724112533033,26.49,181.42801,E488000_N136000
496652.59067195497,112551.56758555012,6.605496406555176,62.57658386230469,1512.5881832838058,59.82,177.21948,E496000_N112000
495369.41422994976,112362.38379452813,6.651822090148926,62.764801025390625,1497.063663303852,60.28,169.90967,E488000_N112000
473585.47953827877,143324.5883566061,8.202592849731445,51.42161560058594,1686.8776363134384,36.32,170.56708,E472000_N136000
438152.2340341612,159316.51644585305,7.75466251373291,89.54331970214844,931.4182996749878,17.07,165.95587,E432000_N152000
504529.45853315113,111736.84522111918,10.262228012084961,79.76530456542969,1044.437488913536,21.81,181.80554,E504000_N104000
434973.52820716955,128769.14958240335,7.913552284240723,58.16098403930664,1520.7474666833878,28.95,197.02072,E432000_N128000
