profile,distance_m,elevation_m
1,0.0,85.0842056274414
1,4.0,85.0796127319336
1,8.0,85.0909194946289
1,12.0,85.11740112304688
1,16.0,85.15525817871094
1,20.0,85.2002182006836
1,24.0,85.24964141845703
1,28.0,85.30117797851562
1,32.0,85.3481216430664
1,36.0,85.37982177734375
1,40.0,85.3895263671875
1,44.0,85.3731918334961
1,48.0,85.334716796875
1,52.0,85.28402709960938
1,56.0,85.23216247558594
1,60.0,85.18693542480469
1,64.0,85.14420318603516
1,68.0,85.10504150390625
1,72.0,85.06587982177734
1,76.0,85.0181655883789
1,80.0,84.95372772216797
1,84.0,84.86663818359375
1,88.0,84.75428009033203
1,92.0,84.61640167236328
1,96.0,84.44401550292969
1,100.0,84.24964904785156
1,104.0,84.0279312133789
1,108.0,83.77203369140625
1,112.0,83.4814453125
1,116.0,83.16719055175781
1,120.0,82.84783935546875
1,124.0,82.53677368164062
1,128.0,82.23881530761719
1,132.0,81.9554443359375
1,136.0,81.68223571777344
1,140.0,81.41638946533203
1,144.0,81.15763092041016
1,148.0,80.90753936767578
1,152.0,80.6685562133789
1,156.0,80.44154357910156
1,160.0,80.23017120361328
1,164.0,80.03662872314453
1,168.0,79.8616943359375
1,172.0,79.7047119140625
1,176.0,79.56324005126953
1,180.0,79.43348693847656
1,184.0,79.3108139038086
1,188.0,79.18846130371094
1,192.0,79.06442260742188
1,196.0,78.9345932006836
1,200.0,78.79551696777344
1,204.0,78.64512634277344
1,208.0,78.48336029052734
1,212.0,78.31239318847656
1,216.0,78.13399505615234
1,220.0,77.95206451416016
1,224.0,77.7735595703125
1,228.0,77.60224151611328
1,232.0,77.44097137451172
1,236.0,77.290771484375
1,240.0,77.14976501464844
1,244.0,77.01263427734375
1,248.0,76.86842346191406
1,252.0,76.707275390625
1,256.0,76.51657104492188
1,260.0,76.28851318359375
1,264.0,76.02607727050781
1,268.0,75.74053192138672
1,272.0,75.44097900390625
1,276.0,75.12397766113281
1,280.0,74.76860809326172
1,284.0,74.35445404052734
1,288.0,73.8609390258789
1,292.0,73.27687072753906
1,296.0,72.60159301757812
1,300.0,71.84229278564453
1,304.0,71.01020812988281
1,308.0,70.11442565917969
1,312.0,69.1689224243164
1,316.0,68.19178009033203
1,320.0,67.1969985961914
2,0.0,58.63558578491211
2,4.0,58.02935028076172
2,8.0,57.292545318603516
2,12.0,56.29049301147461
2,16.0,54.88996887207031
2,20.0,53.044464111328125
2,24.0,50.85935974121094
2,28.0,48.57248306274414
2,32.0,46.456485748291016
2,36.0,44.699668884277344
2,40.0,43.336299896240234
2,44.0,42.29635238647461
2,48.0,41.469154357910156
2,52.0,40.76186752319336
2,56.0,40.119293212890625
2,60.0,39.5139274597168
2,64.0,38.93033218383789
2,68.0,38.35881042480469
2,72.0,37.80409622192383
2,76.0,37.28663635253906
2,80.0,36.834571838378906
2,84.0,36.469688415527344
2,88.0,36.197444915771484
2,92.0,36.00752258300781
2,96.0,35.88328170776367
2,100.0,35.80710220336914
2,104.0,35.76960372924805
2,108.0,35.77071762084961
2,112.0,35.81460189819336
2,116.0,35.897804260253906
2,120.0,36.00120544433594
2,124.0,36.092811584472656
2,128.0,36.13691711425781
2,132.0,36.11480712890625
2,136.0,36.01707077026367
2,140.0,35.844482421875
2,144.0,35.614864349365234
2,148.0,35.3658332824707
2,152.0,35.14268112182617
2,156.0,34.97459030151367
2,160.0,34.87998962402344
2,164.0,34.853641510009766
2,168.0,34.883155822753906
2,172.0,34.95442581176758
2,176.0,35.04946517944336
2,180.0,35.14727020263672
2,184.0,35.22930145263672
2,188.0,35.282257080078125
2,192.0,35.30793380737305
2,196.0,35.31705856323242
2,200.0,35.31983947753906
2,204.0,35.32218551635742
2,208.0,35.327117919921875
2,212.0,35.339111328125
2,216.0,35.369606018066406
2,220.0,35.43666076660156
2,224.0,35.55492401123047
2,228.0,35.73223876953125
2,232.0,35.95768737792969
2,236.0,36.19744873046875
2,240.0,36.403560638427734
2,244.0,36.534339904785156
2,248.0,36.5810432434082
2,252.0,36.567291259765625
2,256.0,36.5421142578125
2,260.0,36.55331802368164
2,264.0,36.62620544433594
2,268.0,36.760772705078125
2,272.0,36.94255828857422
2,276.0,37.1526985168457
2,280.0,37.36558151245117
2,284.0,37.5729866027832
2,288.0,37.7649040222168
2,292.0,37.934139251708984
2,296.0,38.0762939453125
2,300.0,38.19007110595703
2,304.0,38.27750778198242
2,308.0,38.341529846191406
2,312.0,38.39085006713867
2,316.0,38.434471130371094
2,320.0,38.47874069213867
3,0.0,56.471981048583984
3,4.0,55.71278762817383
3,8.0,54.995208740234375
3,12.0,54.3308219909668
3,16.0,53.731536865234375
3,20.0,53.20956802368164
3,24.0,52.766334533691406
3,28.0,52.37640380859375
3,32.0,51.982208251953125
3,36.0,51.49917221069336
3,40.0,50.85420227050781
3,44.0,50.02101135253906
3,48.0,49.020240783691406
3,52.0,47.89646911621094
3,56.0,46.69205856323242
3,60.0,45.44477462768555
3,64.0,44.20915222167969
3,68.0,43.05377960205078
3,72.0,42.03755187988281
3,76.0,41.18400955200195
3,80.0,40.47154235839844
3,84.0,39.85132598876953
3,88.0,39.27450180053711
3,92.0,38.70963668823242
3,96.0,38.14291000366211
3,100.0,37.57842254638672
3,104.0,37.02880096435547
3,108.0,36.51017761230469
3,112.0,36.03705978393555
3,116.0,35.61729049682617
3,120.0,35.252166748046875
3,124.0,34.945167541503906
3,128.0,34.711570739746094
3,132.0,34.57333755493164
3,136.0,34.54683303833008
3,140.0,34.62285232543945
3,144.0,34.761348724365234
3,148.0,34.906009674072266
3,152.0,35.00926208496094
3,156.0,35.049007415771484
3,160.0,35.03719711303711
3,164.0,35.00293731689453
3,168.0,34.98055648803711
3,172.0,35.00285339355469
3,176.0,35.09413146972656
3,180.0,35.26105499267578
3,184.0,35.48550033569336
3,188.0,35.7266960144043
3,192.0,35.94391632080078
3,196.0,36.12065505981445
3,200.0,36.27079391479492
3,204.0,36.42544174194336
3,208.0,36.61064529418945
3,212.0,36.8334846496582
3,216.0,37.084686279296875
3,220.0,37.3437385559082
3,224.0,37.596065521240234
3,228.0,37.836483001708984
3,232.0,38.06454849243164
3,236.0,38.283180236816406
3,240.0,38.49589538574219
3,244.0,38.70289611816406
3,248.0,38.90009307861328
3,252.0,39.079715728759766
3,256.0,39.23843002319336
3,260.0,39.377681732177734
3,264.0,39.50184631347656
3,268.0,39.61576843261719
3,272.0,39.72320556640625
3,276.0,39.82615280151367
3,280.0,39.92416763305664
3,284.0,40.016212463378906
3,288.0,40.09789276123047
3,292.0,40.163108825683594
3,296.0,40.206974029541016
3,300.0,40.22758865356445
3,304.0,40.225162506103516
3,308.0,40.201812744140625
3,312.0,40.16331481933594
3,316.0,40.121341705322266
3,320.0,40.09307098388672
