profile,distance_m,elevation_m
1,0.0,148.91441345214844
1,4.0,148.65821838378906
1,8.0,148.3804473876953
1,12.0,148.08094787597656
1,16.0,147.76409912109375
1,20.0,147.4364471435547
1,24.0,147.1027069091797
1,28.0,146.7633056640625
1,32.0,146.41513061523438
1,36.0,146.0542449951172
1,40.0,145.67889404296875
1,44.0,145.2907257080078
1,48.0,144.8942413330078
1,52.0,144.49501037597656
1,56.0,144.09844970703125
1,60.0,143.7090606689453
1,64.0,143.3302001953125
1,68.0,142.96388244628906
1,72.0,142.61102294921875
1,76.0,142.27255249023438
1,80.0,141.949951171875
1,84.0,141.64390563964844
1,88.0,141.35194396972656
1,92.0,141.0675811767578
1,96.0,140.7817840576172
1,100.0,140.4851837158203
1,104.0,140.1699676513672
1,108.0,139.83206176757812
1,112.0,139.47169494628906
1,116.0,139.09007263183594
1,120.0,138.68435668945312
1,124.0,138.24652099609375
1,128.0,137.7693634033203
1,132.0,137.2524871826172
1,136.0,136.70433044433594
1,140.0,136.13856506347656
1,144.0,135.57041931152344
1,148.0,135.0134735107422
1,152.0,134.47586059570312
1,156.0,133.95806884765625
1,160.0,133.4551239013672
1,164.0,132.962158203125
1,168.0,132.4776611328125
1,172.0,132.00254821777344
1,176.0,131.53761291503906
1,180.0,131.08251953125
1,184.0,130.63645935058594
1,188.0,130.20083618164062
1,192.0,129.7783660888672
1,196.0,129.3751983642578
1,200.0,128.99765014648438
1,204.0,128.6487579345703
1,208.0,128.32688903808594
1,212.0,128.02792358398438
1,216.0,127.74870300292969
1,220.0,127.48877716064453
1,224.0,127.24884796142578
1,228.0,127.02822875976562
1,232.0,126.82393646240234
1,236.0,126.63240814208984
1,240.0,126.45137786865234
1,244.0,126.2802505493164
1,248.0,126.11882781982422
1,252.0,125.96614074707031
1,256.0,125.82098388671875
1,260.0,125.68305206298828
1,264.0,125.55270385742188
1,268.0,125.42996215820312
1,272.0,125.31391143798828
1,276.0,125.20296478271484
1,280.0,125.09530639648438
1,284.0,124.98884582519531
1,288.0,124.8813705444336
1,292.0,124.77174377441406
1,296.0,124.66155242919922
1,300.0,124.55529022216797
1,304.0,124.45830535888672
1,308.0,124.37298583984375
1,312.0,124.29660034179688
1,316.0,124.22116088867188
1,320.0,124.1318359375
2,0.0,156.50819396972656
2,4.0,155.92218017578125
2,8.0,155.3473663330078
2,12.0,154.77236938476562
2,16.0,154.189453125
2,20.0,153.5956573486328
2,24.0,152.9931640625
2,28.0,152.3868865966797
2,32.0,151.7798614501953
2,36.0,151.1699981689453
2,40.0,150.552001953125
2,44.0,149.92417907714844
2,48.0,149.29379272460938
2,52.0,148.67588806152344
2,56.0,148.0858612060547
2,60.0,147.53244018554688
2,64.0,147.01524353027344
2,68.0,146.5286407470703
2,72.0,146.0647430419922
2,76.0,145.6159210205078
2,80.0,145.17625427246094
2,84.0,144.74215698242188
2,88.0,144.31253051757812
2,92.0,143.88858032226562
2,96.0,143.47320556640625
2,100.0,143.06971740722656
2,104.0,142.67999267578125
2,108.0,142.30294799804688
2,112.0,141.9345245361328
2,116.0,141.5684051513672
2,120.0,141.1962127685547
2,124.0,140.80728149414062
2,128.0,140.38938903808594
2,132.0,139.93064880371094
2,136.0,139.42474365234375
2,140.0,138.875732421875
2,144.0,138.29971313476562
2,148.0,137.71954345703125
2,152.0,137.15501403808594
2,156.0,136.6157989501953
2,160.0,136.10191345214844
2,164.0,135.6088104248047
2,168.0,135.13169860839844
2,172.0,134.66746520996094
2,176.0,134.2147674560547
2,180.0,133.7735137939453
2,184.0,133.34425354003906
2,188.0,132.93133544921875
2,192.0,132.5355224609375
2,196.0,132.16368103027344
2,200.0,131.82521057128906
2,204.0,131.5293426513672
2,208.0,131.28073120117188
2,212.0,131.07504272460938
2,216.0,130.89772033691406
2,220.0,130.72840881347656
2,224.0,130.54843139648438
2,228.0,130.3464813232422
2,232.0,130.11978149414062
2,236.0,129.87245178222656
2,240.0,129.61399841308594
2,244.0,129.3565673828125
2,248.0,129.111083984375
2,252.0,128.8812713623047
2,256.0,128.66583251953125
2,260.0,128.46336364746094
2,264.0,128.2738494873047
2,268.0,128.09677124023438
2,272.0,127.92913818359375
2,276.0,127.76644134521484
2,280.0,127.60482025146484
2,284.0,127.44258117675781
2,288.0,127.28015899658203
2,292.0,127.11939239501953
2,296.0,126.96263885498047
2,300.0,126.8119888305664
2,304.0,126.6688232421875
2,308.0,126.5338134765625
2,312.0,126.40674591064453
2,316.0,126.28585815429688
2,320.0,126.1675033569336
3,0.0,155.1479034423828
3,4.0,155.0311279296875
3,8.0,154.8727264404297
3,12.0,154.6657257080078
3,16.0,154.40455627441406
3,20.0,154.0887908935547
3,24.0,153.7266082763672
3,28.0,153.3350067138672
3,32.0,152.93539428710938
3,36.0,152.5452423095703
3,40.0,152.1705322265625
3,44.0,151.8046417236328
3,48.0,151.43284606933594
3,52.0,151.0388641357422
3,56.0,150.6098175048828
3,60.0,150.1405487060547
3,64.0,149.63597106933594
3,68.0,149.1126708984375
3,72.0,148.59027099609375
3,76.0,148.08323669433594
3,80.0,147.5978546142578
3,84.0,147.13360595703125
3,88.0,146.6863555908203
3,92.0,146.25131225585938
3,96.0,145.8254852294922
3,100.0,145.4083709716797
3,104.0,145.00125122070312
3,108.0,144.6060791015625
3,112.0,144.22537231445312
3,116.0,143.8623504638672
3,120.0,143.52035522460938
3,124.0,143.20155334472656
3,128.0,142.90573120117188
3,132.0,142.63101196289062
3,136.0,142.3736114501953
3,140.0,142.12940979003906
3,144.0,141.89492797851562
3,148.0,141.6680450439453
3,152.0,141.4479522705078
3,156.0,141.23471069335938
3,160.0,141.02822875976562
3,164.0,140.82774353027344
3,168.0,140.63198852539062
3,172.0,140.44021606445312
3,176.0,140.25335693359375
3,180.0,140.07376098632812
3,184.0,139.90316772460938
3,188.0,139.7399444580078
3,192.0,139.58181762695312
3,196.0,139.424560546875
3,200.0,139.26544189453125
3,204.0,139.104736328125
3,208.0,138.94537353515625
3,212.0,138.79074096679688
3,216.0,138.64239501953125
3,220.0,138.49876403808594
3,224.0,138.35549926757812
3,228.0,138.20692443847656
3,232.0,138.04798889160156
