profile,distance_m,elevation_m
1,0.0,131.0159912109375
1,4.0,130.6634063720703
1,8.0,130.2385711669922
1,12.0,129.70269775390625
1,16.0,129.02586364746094
1,20.0,128.20362854003906
1,24.0,127.25029754638672
1,28.0,126.27745819091797
1,32.0,125.33334350585938
1,36.0,124.46942138671875
1,40.0,123.7117919921875
1,44.0,123.07791137695312
1,48.0,122.51885986328125
1,52.0,122.00645446777344
1,56.0,121.51461029052734
1,60.0,121.02808380126953
1,64.0,120.53812408447266
1,68.0,120.04048919677734
1,72.0,119.53520965576172
1,76.0,119.01750183105469
1,80.0,118.48484802246094
1,84.0,117.93330383300781
1,88.0,117.37970733642578
1,92.0,116.85844421386719
1,96.0,116.39271545410156
1,100.0,115.99075317382812
1,104.0,115.64433288574219
1,108.0,115.31878662109375
1,112.0,114.93933868408203
1,116.0,114.50794982910156
1,120.0,114.03509521484375
1,124.0,113.55016326904297
1,128.0,113.07331848144531
1,132.0,112.62987518310547
1,136.0,112.19606018066406
1,140.0,111.78013610839844
1,144.0,111.36457824707031
1,148.0,110.94749450683594
1,152.0,110.5300064086914
1,156.0,110.10726165771484
1,160.0,109.68772888183594
1,164.0,109.26899719238281
1,168.0,108.85973358154297
1,172.0,108.46480560302734
1,176.0,108.08470916748047
1,180.0,107.72325897216797
1,184.0,107.37825775146484
1,188.0,107.05284881591797
1,192.0,106.74791717529297
1,196.0,106.46287536621094
1,200.0,106.20208740234375
1,204.0,105.96540069580078
1,208.0,105.75909423828125
1,212.0,105.58438873291016
1,216.0,105.43602752685547
1,220.0,105.31523132324219
1,224.0,105.21846008300781
1,228.0,105.14860534667969
1,232.0,105.10174560546875
1,236.0,105.0743179321289
1,240.0,105.06459045410156
1,244.0,105.07186889648438
1,248.0,105.0929183959961
1,252.0,105.13121795654297
1,256.0,105.18342590332031
1,260.0,105.25234985351562
1,264.0,105.341796875
1,268.0,105.45207977294922
1,272.0,105.58558654785156
1,276.0,105.73583984375
1,280.0,105.90190887451172
1,284.0,106.0821533203125
1,288.0,106.2789306640625
1,292.0,106.48793029785156
1,296.0,106.7026596069336
1,300.0,106.91393280029297
1,304.0,107.11373901367188
1,308.0,107.2972640991211
1,312.0,107.45418548583984
1,316.0,107.58992767333984
1,320.0,107.71195220947266
2,0.0,129.95053100585938
2,4.0,129.41647338867188
2,8.0,128.84307861328125
2,12.0,128.22972106933594
2,16.0,127.58181762695312
2,20.0,126.90230560302734
2,24.0,126.20826721191406
2,28.0,125.50638580322266
2,32.0,124.81332397460938
2,36.0,124.12999725341797
2,40.0,123.46177673339844
2,44.0,122.81319427490234
2,48.0,122.18189239501953
2,52.0,121.56542205810547
2,56.0,120.96845245361328
2,60.0,120.39596557617188
2,64.0,119.85102081298828
2,68.0,119.27922821044922
2,72.0,118.61396026611328
2,76.0,117.8020248413086
2,80.0,116.8215560913086
2,84.0,115.70045471191406
2,88.0,114.5889892578125
2,92.0,113.5650863647461
2,96.0,112.66228485107422
2,100.0,111.8675537109375
2,104.0,111.14836883544922
2,108.0,110.48280334472656
2,112.0,109.86502838134766
2,116.0,109.29454040527344
2,120.0,108.7669906616211
2,124.0,108.27124786376953
2,128.0,107.79744720458984
2,132.0,107.33683013916016
2,136.0,106.8941879272461
2,140.0,106.47795867919922
2,144.0,106.09120178222656
2,148.0,105.74003601074219
2,152.0,105.41654205322266
2,156.0,105.10546875
2,160.0,104.80330657958984
2,164.0,104.5030517578125
2,168.0,104.20866394042969
2,172.0,103.92613220214844
2,176.0,103.66403198242188
2,180.0,103.43484497070312
2,184.0,103.24508666992188
2,188.0,103.10736846923828
