g,k,f,lat,lon
a,c,3,50.92763,-0.06708
a,c,3,50.89208,-0.3526
a,c,3,50.96837,-0.92773
a,c,3,51.33308,-1.47502
a,c,3,51.18675,-1.1861
a,c,3,50.88467,-0.43855
a,c,3,50.97105,-0.93047
a,c,3,51.08183,-1.04367
a,c,3,51.18378,-1.18377
a,c,3,51.08575,-1.0389
a,c,3,51.28578,-1.38722
a,c,3,50.9269,-0.85153
a,c,3,51.07952,-1.047
a,c,3,51.16825,-1.15598
a,c,3,51.16533,-1.15273
a,c,3,50.88083,-0.21712
a,c,3,50.8822,-0.22685
a,c,3,51.08947,-1.04927
a,c,3,51.05577,-1.0136
a,c,3,50.88283,-0.19323
a,c,3,50.92202,-0.06603
a,c,3,51.28845,-1.3946
a,c,3,51.12407,-1.0742
a,c,3,50.92942,-0.80355
a,c,3,51.08872,-1.04767
a,c,3,50.99445,-0.95635
a,c,3,51.2202,-1.26283
a,c,3,50.92867,-0.87128
l,t,3,51.3612,-1.48508
l,t,3,51.03258,-0.9936
l,t,3,50.9535,-0.92238
l,t,3,50.9222,-0.73715
l,t,3,50.8949,-0.54352
l,t,3,50.88638,-0.50133
l,t,3,50.89515,-0.41595
l,t,3,50.89978,-0.32132
l,c,3,50.89805,-0.09093
l,c,3,50.88475,-0.57523
l,c,3,50.92657,-0.06815
l,c,3,50.90932,-0.06997
l,c,3,50.92202,-0.06603
l,c,3,50.91372,-0.06778
l,c,3,50.89098,-0.1034
l,c,3,50.8857,-0.57097
l,c,3,50.91078,-0.06907
l,c,3,51.04708,-0.9997
l,c,3,50.90148,-0.0819
l,c,3,50.89033,-0.55672
l,c,3,50.89542,-0.09602
l,c,3,50.89283,-0.54672
l,c,3,50.88633,-0.5688
l,c,3,50.92843,-0.06663
l,c,3,50.88745,-0.56475
l,c,3,50.92558,-0.06777
l,c,3,50.91823,-0.06702
l,c,3,50.88933,-0.56058
l,c,3,50.89395,-0.0988
l,c,3,50.89892,-0.0882
l,c,3,50.88507,-0.57282
l,c,3,50.89677,-0.0935
l,c,3,50.90407,-0.07387
l,c,3,50.88975,-0.55895
l,c,3,50.9066,-0.07168
l,c,3,50.89132,-0.55238
l,c,3,50.89243,-0.10132
l,c,3,50.9277,-0.06783
l,c,3,50.89208,-0.54712
l,c,3,50.90527,-0.07255
l,c,3,50.91697,-0.06673
l,c,3,50.92763,-0.06708
l,c,3,50.88687,-0.56655
l,c,3,50.9196,-0.06712
l,c,3,50.89232,-0.54892
l,c,3,50.91212,-0.06843
l,c,3,50.92325,-0.06565
l,c,3,50.92433,-0.0655
a,t,4,51.10878,-2.27165
a,t,4,51.14672,-2.24895
a,t,4,51.201,-2.24015
a,t,4,51.29655,-2.19145
a,t,4,51.36103,-2.17123
a,t,4,51.4465,-2.16063
a,t,4,51.5441,-2.11773
a,t,4,51.61993,-2.12382
a,t,4,51.65263,-2.1194
a,t,4,51.75023,-2.09445
a,t,4,51.84632,-2.06398
a,t,4,51.93367,-2.05193
a,c,4,51.25043,-2.2121
a,c,4,51.70258,-2.11143
a,c,4,52.01268,-2.0866
a,c,4,51.10215,-2.27652
a,c,4,51.42912,-2.1616
a,c,4,51.24668,-2.21412
a,c,4,51.27107,-2.20133
a,c,4,52.00778,-2.10372
a,c,4,51.26207,-2.1975
a,c,4,51.4171,-2.16883
a,c,4,51.18025,-2.255
a,c,4,51.18852,-2.25455
a,c,4,51.7208,-2.10397
a,c,4,51.91032,-2.05338
a,c,4,51.71052,-2.11147
a,c,4,51.10138,-2.27687
a,c,4,51.91413,-2.0547
a,c,4,51.10667,-2.278
a,c,4,51.7289,-2.10253
a,c,4,51.82852,-2.06072
a,c,4,51.69878,-2.11238
a,c,4,51.25893,-2.20405
a,c,4,52.00802,-2.10503
a,c,4,51.73072,-2.09987
a,c,4,51.42782,-2.16295
a,c,4,52.00432,-2.10615
a,c,4,51.90848,-2.05225
a,c,4,51.7007,-2.11172
a,c,4,51.40412,-2.17147
a,c,4,51.59375,-2.1105
a,c,4,51.27523,-2.19515
