k,f,e,lat,lon,alt,low,d_junction_m,d_major_junction_m,d_any_road_m,d_major_road_m,d_agri_edge_m,d_urban_edge_m,d_wood_edge_m,d_place_m,agri_inside,urban_inside,big_agri_near300,junction_300,junction_500,major_junction_500,major_road_300,any_road_150,agri_edge_300,wood_edge_300,urban_near500,place_near2000,road_agri_boundary,surface_boundary_300
c,3,12,50.9298,-0.77402,1017,0,1946.117395891298,1331.4304445230573,856.1211453747716,1148.5958550799935,66.93381463860165,1349.137191530471,66.93381463860165,2470.883048091771,1,0,1,0,0,0,0,0,1,1,0,0,0,1
t,3,13,50.8949,-0.54352,310,1,176.82931369039335,217.8265882051876,61.082565857034965,214.54153208848678,247.92854875838077,311.18667147962276,39.90630920449819,636.4225370308827,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c,3,13,50.91212,-0.06843,316,1,519.708752299243,802.815823322617,430.3019753962751,518.4647661177636,4.389073128600382,355.89042472726,53.90853702007364,1146.7422605529516,1,0,0,0,0,0,0,0,1,1,1,1,0,1
c,3,13,50.90932,-0.06997,399,1,704.6277288537175,677.6483844518241,238.8136333834641,626.2013819552294,2.746011066187037,391.8923837155556,2.746011066187037,924.6650565839496,1,0,0,0,0,0,0,0,1,1,1,1,0,1
c,3,13,50.91553,-0.06695,213,1,519.3629009051838,657.0761976266054,417.5726117884588,417.5726117884588,214.70102117942682,275.33834687698874,199.01663808479745,1127.011684765844,0,0,0,0,0,0,0,0,1,1,1,1,0,1
t,3,14,50.88638,-0.50133,630,1,1829.9584583228248,1992.9852705260291,1478.9544094077821,1992.9852705260291,291.72419702777455,1961.9567898011749,467.38137714918133,2333.8167626954123,0,0,1,0,0,0,0,0,1,0,0,0,0,1
c,3,14,50.88452,-0.5778,727,1,289.0434070727101,289.0434070727101,109.51651194896598,109.51651194896598,629.0539423442948,1635.958935273152,96.55109640859877,2084.4563232079995,0,0,0,1,1,1,1,1,0,1,0,0,0,1
c,3,14,50.89395,-0.0988,629,1,858.5247693526431,858.5247693526431,662.0219196603107,662.0219196603107,263.2176973600335,1241.6506202437943,44.79731338428967,1408.6735557444954,0,0,0,0,0,0,0,0,1,1,0,1,0,1
c,3,14,50.89677,-0.0935,602,1,897.6460822673059,897.6460822673059,894.6767688871887,894.6767688871887,635.5016555905654,941.6175809977414,310.18454107471405,1148.56033441597,0,0,0,0,0,0,0,0,0,0,0,1,0,0
t,3,15,50.89515,-0.41595,579,1,416.5281561589578,416.5281561589578,285.85469904280313,405.08770669438695,33.807235054726135,851.210578568365,33.807235054726135,1138.6282270789866,1,0,1,0,1,1,0,0,1,1,0,1,0,1
c,3,15,50.90148,-0.0819,547,1,282.6912458809344,752.0791311247056,279.9220222105753,279.9220222105753,160.33176559581094,294.15500896977056,31.493230472912884,1295.7267776391247,0,0,0,1,1,0,1,0,1,1,1,1,0,1
c,3,15,50.89892,-0.0882,545,1,759.6202566881555,1095.5690001897467,602.7814029232046,655.6180087767447,473.79051093926535,659.5577489909816,265.93074393729086,1118.3344319127998,0,0,0,0,0,0,0,0,0,1,0,1,0,1
c,3,15,50.90353,-0.0787,491,1,159.38607450582157,499.28967032136575,47.88531380833533,47.88531380833533,59.151036939224106,101.05875648117684,9.866184493374693,1157.9467495626877,0,0,0,1,1,1,1,1,1,1,1,1,1,1
t,3,16,50.89978,-0.32132,692,1,382.46814687608725,981.5447209305456,136.0110181858961,436.81421848684096,112.081966851791,48.07230022450322,171.2650217572649,1233.8260835316962,0,0,0,0,1,0,0,1,1,1,1,1,1,1
c,3,16,50.89098,-0.1034,696,1,1088.5731939391726,1088.5731939391726,433.59221408054736,433.59221408054736,126.36772765793322,1621.5467292615863,136.104180748243,1773.4711972314442,1,0,1,0,0,0,0,0,1,1,0,1,0,1
c,3,16,50.88818,-0.10722,704,1,1381.1941595851642,1381.1941595851642,372.71258749099997,372.71258749099997,26.30795588186336,1688.4473689401138,171.58356281201836,1947.7755918700364,1,0,1,0,0,0,0,0,1,1,0,1,0,1
c,3,16,50.88582,-0.1119,744,1,963.0525781477968,963.0525781477968,367.2973090769001,367.2973090769001,12.542292312464548,1878.1331343364943,12.542292312464548,1792.0512789542531,1,0,1,0,0,0,0,0,1,1,0,1,0,1
t,4,1,51.10878,-2.27165,304,1,1644.153679902797,1079.6271789870084,1019.2575080037296,1044.182738462469,172.1128748289619,583.873744396403,441.30739172549437,2162.7160162777845,0,0,1,0,0,0,0,0,1,0,0,0,0,1
c,4,1,51.09875,-2.27498,363,1,608.4232536584061,967.5878974896443,133.49280074083478,452.69972790253473,149.57658470697146,499.9423004840433,33.4453934668657,1132.2714545513384,0,0,1,0,0,0,0,1,1,1,1,1,1,1
c,4,1,51.09705,-2.2772,373,1,570.2407624219221,839.7906047618357,109.81849488576859,288.25273840180034,42.22154823525121,454.46875667964775,115.01255475129986,1045.3429092657952,1,0,1,0,0,0,1,1,1,1,1,1,1,1
c,4,1,51.1004,-2.27727,375,1,848.7868235451707,1187.504482007957,161.39618968953548,657.0700098168572,214.2920887009177,737.6090184300053,100.00534367249534,1366.8587115360733,0,0,1,0,0,0,0,0,1,1,0,1,0,1
t,4,2,51.14672,-2.24895,1126,0,979.0297615779001,1504.8034245779425,552.4120101584446,552.4120101584446,207.40141489779907,840.7143764804313,121.06854587734674,2352.6212771184714,0,0,1,0,0,0,0,0,1,1,0,0,0,1
c,4,2,51.17383,-2.25287,1127,0,84.24082894232428,455.91908524256286,16.06395779366062,254.3783823935634,262.70520409055973,56.26752208671587,94.50280738398098,1295.431061613525,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c,4,2,51.17825,-2.25417,1081,0,485.7156049108678,833.017158165722,225.96970301280504,363.7843997156815,370.60969395330306,195.2897179243934,172.0892245744799,1361.5234755276622,0,0,0,0,1,0,0,0,0,1,1,1,0,1
c,4,2,51.24295,-2.21628,1109,0,245.0822053073045,383.25155598451573,139.31774483105616,167.69986007822598,697.9747333162912,211.0837002647123,2.2499782029293423,604.2836849981675,0,0,0,1,1,1,1,1,0,1,1,1,0,1
t,4,3,51.201,-2.24015,751,0,109.76388461599771,172.77535598021595,46.852118290134165,46.852118290134165,39.48591201002296,409.95814787857296,57.855992552434856,1577.9911767709389,1,0,1,1,1,1,1,1,1,1,1,1,1,1
c,4,3,51.27308,-2.20007,762,0,184.52132863647753,357.7419809126538,91.73121630552389,289.88297422775145,426.9426135639724,67.43627681036357,48.631492904483935,1015.4168786261835,0,0,0,1,1,1,1,1,0,1,1,1,0,1
c,4,3,51.27387,-2.19682,737,0,177.98045985366048,177.98045985366048,110.05627827743707,134.7613275113126,438.2364614106765,114.31606650392767,284.81536317442186,939.5012833265287,0,0,0,1,1,1,1,1,0,1,1,1,0,1
c,4,3,51.2688,-2.20088,805,0,14.613406188913778,14.613406188913778,5.980761840614014,5.980761840614014,255.95752034774705,2.8716833772721095,262.7209324320453,1477.1325654275386,0,0,0,1,1,1,1,1,1,1,1,1,1,1
t,4,4,51.29655,-2.19145,443,1,247.58363531583194,247.58363531583194,194.67823794516772,247.58363531583194,78.375341426299,197.33573907622406,378.9099601169184,348.5486679747086,0,0,0,1,1,1,1,0,1,0,1,1,0,1
c,4,4,51.10502,-2.27795,452,1,1327.0853377743783,1381.7197424797316,435.2518079909312,1172.1214326141196,8.457624163125425,672.6033750279854,265.5448315819717,1856.3628312249396,0,0,1,0,0,0,0,0,1,1,0,1,0,1
c,4,4,51.1036,-2.27728,405,1,1163.4245222008647,1330.014590358619,446.0063455236511,1009.1829093178765,94.47425068451838,835.8896004140051,136.16149023513836,1692.1763727738476,0,0,1,0,0,0,0,0,1,1,0,1,0,1
c,4,4,51.2774,-2.19522,684,1,133.45424246208125,133.45424246208125,46.70958803661079,111.69473686408756,835.7453523914239,40.65544704263712,628.0481798645625,598.8980848744142,0,0,0,1,1,1,1,1,0,0,1,1,0,1
t,4,5,51.36103,-2.17123,1222,0,402.9337477395521,143.78502184039056,136.56772823569594,136.56772823569594,31.530892014245065,627.120272882505,527.1769028803619,1232.202909506855,1,0,1,0,1,1,1,1,1,0,0,1,1,1
c,4,5,51.41287,-2.17027,1215,0,308.9603462083242,207.89606960875395,107.09111849233379,133.50204943367407,251.7170890057027,104.80596464190253,511.07520645129017,436.0225074016363,0,0,0,0,1,1,1,1,1,0,1,1,1,1
c,4,5,51.40863,-2.17062,1265,0,437.45422893589097,346.7097459844844,149.9497765958277,345.1511846914575,348.86927214674756,22.25415266042106,103.4067527587263,859.881462053068,0,1,0,0,1,1,0,1,0,1,1,1,0,1
c,4,5,51.4171,-2.16883,1177,0,168.31566560893498,98.41904716472135,78.9453080878712,78.9453080878712,640.7796706148217,48.10647771536189,663.8131190842538,230.0246167924746,0,0,0,1,1,1,1,1,0,0,1,1,0,1
t,4,6,51.4465,-2.16063,978,0,124.91696841416201,124.91696841416201,33.468488446477025,124.30724800174369,461.18054480523045,746.3844250400347,150.05976590251458,2350.3099719102197,0,0,0,1,1,1,1,1,0,1,0,0,0,1
c,4,6,51.4884,-2.14127,959,0,205.51851305781156,205.51851305781156,205.30742878550222,205.30742878550222,213.4029837900665,209.18744782643483,315.1229959840804,911.3230183831314,0,0,1,1,1,1,1,0,1,0,1,1,0,1
c,4,6,51.48442,-2.14338,1023,0,637.4284522082563,637.4284522082563,301.4685190978414,561.7294590946929,569.7649118697609,618.7443499461243,18.223378942460336,1355.3968157158479,0,0,0,0,0,0,0,0,0,1,0,1,0,1
c,4,6,51.4922,-2.14012,916,0,213.6036623916947,229.90739766447382,95.4168308553503,146.51606906465003,240.05823448467584,130.12229697904615,249.10108447997942,505.35559930300485,0,0,1,1,1,1,1,1,1,1,1,1,1,1
t,4,7,51.5441,-2.11773,731,0,607.8853567523159,596.4297580861928,284.54053766175934,322.0477736963309,318.67370095547835,505.0184204499547,314.4383045089908,1399.4987380928612,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c,4,7,51.60013,-2.11075,729,0,337.71560536433583,369.59155143110405,149.2760616623009,149.2760616623009,195.11430054844126,250.15103017031362,175.29261580066157,1946.4823463278553,0,0,1,0,1,1,1,1,1,1,1,1,1,1
c,4,7,51.59582,-2.11048,806,0,66.81631747063703,379.45276040679425,64.0900452534997,322.19902727950455,28.69789936356559,116.07768890018237,15.747340986081113,1522.0783740403683,0,0,0,1,1,1,0,1,1,1,1,1,1,1
c,4,7,51.60423,-2.11147,652,0,651.7615059043459,432.2353720011103,35.33576501533342,35.33576501533342,588.4939755826649,536.0890218623963,525.7096076838039,2382.065422855295,0,0,0,0,0,1,1,1,0,0,0,0,0,0
t,4,8,51.61993,-2.12382,379,1,308.1255347493453,308.1255347493453,144.00802300031108,144.00802300031108,807.6983157242922,381.9297458144488,338.14079659604573,907.3317799266415,0,0,0,0,1,1,1,1,0,0,1,1,0,0
c,4,8,51.10215,-2.27652,382,1,994.4620161424328,1291.5818105299159,337.9320159423782,842.1090818681652,176.18021100597434,889.9878853991241,80.04610852727144,1522.6622561813658,0,0,1,0,0,0,0,0,1,1,0,1,0,1
c,4,8,52.00405,-2.10897,235,1,62.99871398047123,94.61882783687324,20.217736804015466,62.980248361082566,27.80179919031623,9.083313918160908,192.92091792666577,3017.522903322609,0,1,1,1,1,1,1,1,1,1,1,0,1,1
c,4,8,52.00802,-2.10503,560,1,340.0061843728732,612.4121704583167,125.0291165844622,509.50783505559076,120.503368448729,270.0267703263784,535.3989958041944,2614.2222688432616,1,0,1,0,1,0,0,1,1,0,1,0,1,1
t,4,9,51.65263,-2.1194,1029,0,898.4183445437437,682.8912971346849,251.8127196930535,682.6954429925815,245.10643125642085,687.7558250136943,275.19907413765515,3083.8899785083186,1,0,1,0,0,0,0,0,1,1,0,0,0,1
c,4,9,51.48028,-2.14538,1069,0,913.4189797719536,888.9451657829013,698.226916538322,865.5240951508418,563.7432331391441,624.0695307552526,222.8935441284577,1827.3205611372898,0,0,0,0,0,0,0,0,0,1,0,1,0,1
c,4,9,51.71248,-2.11095,1174,0,284.7396398467911,419.47802052036405,205.29941099523145,274.88622453420476,230.7673262444635,552.2388688750356,212.24687333455918,1083.1969866166914,0,0,1,1,1,1,1,0,1,1,0,1,0,1
c,4,9,51.715,-2.10838,1182,0,118.42925607198028,499.1735422263643,20.977569548321473,20.977569548321473,69.52320055035074,524.6520439082702,129.9793988472814,869.3447401389811,0,0,0,1,1,1,1,1,1,1,0,1,1,1
t,4,10,51.75023,-2.09445,1042,0,627.2068610433636,2695.919699858105,349.86653685500715,2695.919699858105,1501.2771036997146,732.082897854728,44.60057742924936,1279.0791450528188,0,0,0,0,0,0,0,0,0,1,0,1,0,1
c,4,10,51.73357,-2.09997,1176,0,811.5966722030054,1289.0876116435059,131.8715591198317,1068.3386444733476,697.1344834615397,505.6238447375185,6.966699626469008,1596.7736934852849,0,0,0,0,0,0,0,1,0,1,0,1,0,1
c,4,10,51.73655,-2.10198,1179,0,877.924884446131,1585.8331853455272,152.96541864177033,1422.5177246238518,753.3503465026292,560.8485265193091,5.255667606805317,1650.352215818826,0,0,0,0,0,0,0,0,0,1,0,1,0,1
c,4,10,51.7175,-2.10443,1182,0,450.36248114975456,549.2217072747782,16.45110886917317,231.12020847802495,27.63767537953477,578.3026772684482,469.4032607575385,821.4154104571012,0,0,1,0,1,0,1,1,1,0,0,1,1,1
t,4,11,51.84632,-2.06398,1096,0,543.1042354881318,1122.7455024639407,75.07690405519901,75.07690405519901,48.41810440535478,203.10571045713394,74.6268783413989,656.484669932387,1,0,1,0,0,0,1,1,1,1,1,1,1,1
c,4,11,51.83268,-2.06082,1208,0,931.0298020452339,1701.6765565798396,159.40375062344853,976.5640421396328,54.28688806627017,177.12368253808728,133.38220267855786,466.2545129114835,1,0,1,0,0,0,0,0,1,1,1,1,0,1
c,4,11,52.00878,-2.05238,1048,0,325.7369397413084,325.7369397413084,137.54457373480474,325.6345844675182,127.76572194398298,338.3742166531361,382.1375226474494,1117.0104922815312,1,0,1,0,1,1,0,1,1,0,1,1,1,1
c,4,11,51.82852,-2.06072,1242,0,862.4764468781951,1374.2206586452614,181.81828636529886,978.8644662290601,193.63336180935917,132.9719252571256,252.03353962427755,507.4288641106544,0,0,1,0,0,0,0,0,1,1,1,1,0,1
t,4,12,51.93367,-2.05193,1336,0,428.4520451672911,662.8746251502823,249.98327123157046,428.4520451672911,191.66957278459066,285.3077219137741,349.58360922243435,786.5897664105225,1,0,1,0,1,0,0,0,1,0,1,1,0,1
c,4,12,51.81655,-2.06253,1335,0,768.6991096568468,555.6473794788053,203.61638865371117,538.3948823649717,346.0500750610575,775.2270145556702,207.6942882812415,1214.6986809162543,0,0,0,0,0,0,0,0,0,1,0,1,0,1
c,4,12,51.8204,-2.06175,1313,0,533.082958292774,809.7354329511214,334.36472963372586,750.7192151790387,571.4873713842021,946.5834076870914,124.93092120201237,1282.8627431476045,0,0,0,0,0,0,0,0,0,1,0,1,0,1
c,4,12,51.91605,-2.05492,1433,0,34.24342743899636,200.92449871483504,24.549006940371402,196.15135257832918,223.4376941096801,101.34453658992562,345.30532788677425,540.6176726822644,0,1,0,1,1,1,1,1,1,0,1,1,1,1
